date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:19	26/26	---M--	200	added ('OK')	text/plain	etag:%2260e3068c-1a%22	https://arguss.co/robots.txt		(from )
22:19:22	172353/172353	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Oct%202022%2018:19:22%20GMT	https://arguss.co/	/home/OffPower/Work/LadingPlatform/arguss.co/index.html	(from )
22:19:23	5842/5842	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Oct%202022%2018:19:23%20GMT	https://gmpg.org/xfn/11	/home/OffPower/Work/LadingPlatform/gmpg.org/xfn/11.html	(from https://arguss.co/)
22:19:24	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Oct%202022%2018:19:24%20GMT	http://s.w.org/	/home/OffPower/Work/LadingPlatform/s.w.org/index.html	(from https://arguss.co/)
22:19:25	5162/5162	---MC-	200	added ('OK')	text/css	date:Tue,%2025%20Oct%202022%2018:19:24%20GMT	https://fonts.googleapis.com/css?family=Open+Sans%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic%7CRoboto%3A100%2C100italic%2C200%2C200italic%2C300%2C300italic%2C400%2C400italic%2C500%2C500italic%2C600%2C600italic%2C700%2C700italic%2C800%2C800italic%2C900%2C900italic&display=auto&ver=6.0.3	/home/OffPower/Work/LadingPlatform/fonts.googleapis.com/css8d67.css	(from https://arguss.co/)
22:19:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Oct%202022%2018:19:25%20GMT	http://arguss.co/wp-content/plugins/gtranslate/flags/24/en.png	/home/OffPower/Work/LadingPlatform/arguss.co/wp-content/plugins/gtranslate/flags/24/en.2.delayed	(from https://arguss.co/)
22:19:27	0/-1	---M--	301	error ('')			http://arguss.co/wp-content/plugins/gtranslate/flags/24/en.png	/home/OffPower/Work/LadingPlatform/arguss.co/wp-content/plugins/gtranslate/flags/24/en.4.delayed	(from https://arguss.co/)
22:19:27	76854/76854	---MC-	200	added ('OK')	text/javascript	date:Tue,%2025%20Oct%202022%2018:19:26%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	/home/OffPower/Work/LadingPlatform/translate.google.com/translate_a/element7876.js	(from https://arguss.co/)
22:19:27	10670/10670	---M--	200	added ('OK')	text/javascript	etag:%227bb15707b7ba1c232cf2f3943aa8c3d5%22	https://s3.tradingview.com/external-embedding/embed-widget-market-quotes.js	/home/OffPower/Work/LadingPlatform/s3.tradingview.com/external-embedding/embed-widget-market-quotes.js	(from https://arguss.co/)
22:19:28	11212/11212	---M--	200	added ('OK')	text/javascript	etag:%222247b852839650fc04f40eb42932945a%22	https://s3.tradingview.com/external-embedding/embed-widget-screener.js	/home/OffPower/Work/LadingPlatform/s3.tradingview.com/external-embedding/embed-widget-screener.js	(from https://arguss.co/)
22:19:30	246910/246910	---MCZ	200	added ('OK')	application/javascript	etag:W/%223c47e-1840ab025b8%22	https://widget.rss.app/v1/wall.js	/home/OffPower/Work/LadingPlatform/widget.rss.app/v1/wall.js	(from https://arguss.co/)
22:19:31	25/25	---M--	200	added ('OK')	text/plain	etag:%227f564a4-19-3ef0a6a1b08c0%22	https://gmpg.org/robots.txt		(from https://arguss.co/)
22:19:31	2067/2067	---M-Z	200	added ('OK')	text/css	etag:%2264e18331-813-3ef0a663b3680-gzip%22	https://gmpg.org/xfn/default.css	/home/OffPower/Work/LadingPlatform/gmpg.org/xfn/default.css	(from https://gmpg.org/xfn/11)
22:19:32	4170/4170	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Oct%202022%2018:19:32%20GMT	https://gmpg.org/xfn/.	/home/OffPower/Work/LadingPlatform/gmpg.org/xfn/.html	(from https://gmpg.org/xfn/11)
22:19:33	16269/16269	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Oct%202022%2018:19:33%20GMT	https://gmpg.org/xfn/intro	/home/OffPower/Work/LadingPlatform/gmpg.org/xfn/intro.html	(from https://gmpg.org/xfn/11)
22:19:34	7342/7342	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Oct%202022%2018:19:34%20GMT	https://gmpg.org/xfn/faq	/home/OffPower/Work/LadingPlatform/gmpg.org/xfn/faq.html	(from https://gmpg.org/xfn/11)
22:19:35	24/24	---MC-	200	added ('OK')	text/plain	date:Tue,%2025%20Oct%202022%2018:19:35%20GMT	http://s.w.org/robots.txt		(from https://arguss.co/)
22:19:37	51/51	---MCZ	200	added ('OK')	text/plain	date:Tue,%2025%20Oct%202022%2018:19:36%20GMT	https://fonts.googleapis.com/robots.txt		(from https://arguss.co/)
